"Answer","Réponse"
"Categories Manager","Gérer les catégories"
"Category does not exist","La catégorie n'existe pas"
"Category has been deleted.","La catégorie a été supprimée."
"Category has been saved.","La catégorie a été enregistrée."
"Delete","Supprimer la question"
"Details","Détails"
"Drag n' Drop in order to change sorting","Glisser / déposer pour changer l'ordre"
"Edit Category","Editer la catégorie"
"Frequently Asked Questions","Questions fréquemment posées"
"General","Général"
"Manage questions","Gérer les questions"
"Manage themes","Gérer les catégories"
"Question does not exist","La question n'existe pas"
"Question has been deleted.","La question a été supprimée."
"Question has been saved.","La question a été enregistrée."
"Questions Manager","Gérer les questions"
"Questions sorting","Gérer l'ordre des questions"
"Questions Sorting","Gérer l'ordre des questions"
"Save","Enregistrer la question"
"Sort order has been successfully updated.","L'ordre d'affichage a été modifié."
"Status","Statut"
"Theme","Catégorie"
"This functionnality requires jQuery to work. Please make sure jQuery is installed for the admin and working in noConflict mode.","Cette fonctionnalité nécessite l'utilisation de jQuery. Merci de s'assurer que jQuery est installé pour l'admin en mode noConflict."
"Unable to delete category.","Impossible de supprimer la catégorie."
"Unable to delete question.","Impossible de supprimer la question."
"Unable to find a category to save","Impossible de trouver la catégorie à supprimer"
"Unable to find a question to save,"Impossible de trouver la question à supprimer"
"Is Most Frequently Asked Question?","Est une question la plus fréquemment posée?"
